CDSContactID,CDSStatus,RegistrationStatus,RequestedDate,CDSContactType,LanguageCode,TradingApp,PayingApp,BuyingApp,Satisfaction_TradingApp,Satisfaction_PayingApp,Satisfaction_BuyingApp
07455302-f9a8-456b-bd8e-6d7568037bb6,Active,Activated,44369.4774,Customer,en,Registered,Registered,NULL,1,1,4
08665b20-3d9d-461d-96fa-b1d3f606d5c0,Inactive,Invited,44691.83072,Customer,en,Registered,Registered,NULL,1,1,3
17511ebc-bf1a-49a9-84c2-d1d32f520525,Active,Activated,43347.66769,Customer,en,Registered,Registered,NULL,1,1,2
2bedb9fa-1f8b-49a8-9c32-266bba283a41,Active,Activated,42545.69522,Customer,pt,Registered,Registered,NULL,1,1,3
4fb155e7-a256-4a56-b84f-0437f7dda435,Active,Activated,43252.7452,Customer,en,Registered,Registered,NULL,1,1,3
6aa0caa8-4441-4a56-934b-47337a305c58,Active,Activated,44736.63281,Customer,en,Registered,No Access,NULL,1,1,3
8aa391c8-d4ce-413c-a468-498f89024dae,Active,Activated,44105.40165,Customer,en,Registered,No Access,NULL,1,1,4
b9ed81ce-e424-48fc-a171-cd0efc303ff0,Active,Activated,44347.65044,Customer,pt,Registered,Registered,NULL,1,1,4
109d5a31-6739-4b7c-bedf-398e218a1bc6,Active,Activated,43713.7941,Customer,en,Registered,Registered,NULL,2,1,3
15ff08f4-80a3-4291-808b-e06e344caf64,Active,Activated,42782.74108,Customer,pt,Registered,Registered,NULL,2,1,1
1b03f89c-2bbf-40a1-b531-c27b8e8b93db,Active,Activated,43683.96364,Customer,en,Registered,Registered,NULL,3,1,4
2c6607a2-17b3-4a51-ae1f-5edefe2c0e40,Inactive,Invited,45143.1325,Customer,pt,Registered,Registered,NULL,1,1,4
2c7d7144-22d1-467c-b749-64b387336a62,Inactive,Invited,44862.62629,Customer,en,Registered,Registered,NULL,1,1,3
b51fda8e-d1fa-4745-812c-8fb13f37b705,Active,Activated,41773.83105,Customer,en,Registered,Registered,NULL,1,1,5
f8a28711-245c-42ad-9780-3669c86669bb,Active,Activated,42872.73206,Customer,en,Registered,Registered,NULL,1,1,
3ac9d512-35ea-4b9b-a686-557682f6ec28,Active,Activated,42374.8638,Introducing Broker,en,Registered,Registered,NULL,1,1,
013d3210-95c0-4da8-90c9-f277eba80d47,Active,Activated,44109.15102,Consultant,en,Registered,Registered,NULL,1,2,2
1a5af993-cdbb-4a6a-aa68-5e23319190cf,Active,Activated,44216.63384,Consultant,pt,Registered,Registered,NULL,1,2,4
2de13b20-782c-4b63-921f-1aded86aa0f4,Active,Activated,45048.51166,Consultant,pt,Registered,Registered,NULL,1,2,3
62d6739f-2f97-4fec-8b2c-2df6c6729ee3,Inactive,Invited,44937.01529,Consultant,en,Registered,Registered,NULL,1,2,5
ac8a7b5d-d00d-4e21-8203-463b191883a6,Inactive,Invited,45142.98882,Consultant,pt,Registered,Registered,NULL,1,2,2
f2d2bfc2-73e5-44db-a100-b66059e074c5,Inactive,Invited,44862.70642,Consultant,en,Registered,Registered,NULL,1,2,1
04c262b5-0deb-4490-a478-6cba3e6b7564,Active,Activated,42352.91317,Customer,en,Registered,Registered,NULL,1,2,1
0bfb4353-1608-4675-98df-8e6699e26f0d,Inactive,Invited,44216.91599,Customer,es,Registered,Registered,NULL,1,2,1
4dd71c7e-0195-4169-ab4e-c8437cb25672,Active,Activated,44809.51706,Customer,pt,Registered,Registered,NULL,1,2,1
a97ba2f4-f22d-4f11-913b-f3e43c890eee,Active,Activated,44714.76963,Customer,en,Registered,Registered,NULL,1,2,
ba280114-b7ce-4924-a7cd-67933d81dce1,Active,Activated,42412.62527,Customer,en,Registered,Registered,NULL,1,2,3
d4923690-0920-4166-b033-bedc0ef0bcff,Inactive,Invited,44638.78398,Customer,en,Registered,Registered,NULL,1,2,3
dabcdab3-2c99-4c8f-bc74-6fdf9cc42c59,Active,Activated,42544.67426,Customer,en,Registered,Registered,NULL,1,2,1
deb558e6-dd09-4165-a501-77fc7b8768ed,Active,Activated,41961.65897,Customer,en,Registered,Registered,NULL,1,2,5
effffb19-cd11-43b2-a5df-42492939c8e7,Inactive,Invited,45005.63633,Customer,en,Registered,Registered,NULL,1,2,
f0ed3056-43d7-439c-9754-93f301e817d8,Active,Activated,44092.66695,Customer,en,Registered,Registered,NULL,1,2,
fa1bc58d-8f78-4542-913b-d0713ef38aa3,Active,Activated,43504.6243,Customer,en,Registered,Registered,NULL,1,2,
0042c203-0ee7-44e7-8586-a76fb60d3027,Inactive,Invited,44105.40006,Customer,en,Registered,Registered,NULL,2,2,5
130f7e46-83f8-4e29-a01a-993eaa4c8f0e,Active,Activated,42507.71757,Customer,en,Registered,Registered,NULL,2,2,1
8589fb40-712b-4059-81d2-e83dd250fc5b,Active,Activated,42170.55254,Customer,en,Registered,No Access,NULL,2,2,4
9c0a56ad-88e5-4f0f-ab60-76e0a7ba58a4,Inactive,Invited,44631.97776,Customer,en,Registered,Registered,NULL,2,2,
c783ba01-74a3-452d-b613-64eac019ae4e,Inactive,Invited,44093.70548,Customer,en,Registered,Pending Deactivation,NULL,2,2,5
a016823f-8eee-450c-894e-1aa091288ec8,Active,Activated,45113.79975,Customer,pt,Registered,Registered,NULL,1,2,
b9d9cf9f-1335-40cc-a8bc-5719f838a832,Active,Activated,44725.58085,Customer,pt,Registered,Registered,NULL,3,2,2
d7976cd5-4839-428b-a078-9d5d3d31f0ec,Active,Activated,44630.67738,Customer,en,Registered,Registered,NULL,3,2,4
e349688f-a5c1-405f-b812-878518f9dacd,Active,Activated,43615.76985,Customer,pt,Registered,Registered,NULL,3,2,2
2310623a-6ba9-4359-aff0-6f93a4882d3e,Active,Activated,44690.38882,Customer,pt,Registered,Registered,NULL,4,2,4
261e8057-56d2-4651-b04b-07f37d019990,Inactive,Invited,45154.85943,Customer,en,Registered,Registered,NULL,4,2,2
